TestID,Timestamp,DataVolume,DataSize_MB,Framework,EncryptionTime_ms,CPU_Overhead_Percent,Memory_Usage_GB,SystemLoad,DataSensitivity,EncryptionAlgorithm
9941,2024-11-05T21:50:30,Medium,157,ATLAS,149,4.93,1.47,30%,Medium,AES-128-GCM
9942,2024-11-05T21:50:31,Medium,360,ReplicaWatcher,189,5.3,1.75,33%,High,AES-128-GCM
9943,2024-11-05T21:50:32,Medium,171,Kunerva,220,6.19,1.9,59%,High,AES-256-GCM
9944,2024-11-05T21:50:33,Medium,439,kubeFlower,275,6.39,2.74,67%,Medium,ChaCha20-Poly1305
9945,2024-11-05T21:50:34,Large,3729,ATLAS,488,4.92,1.6,20%,High,AES-128-GCM
9946,2024-11-05T21:50:35,Large,3965,ReplicaWatcher,546,5.66,1.85,62%,High,ChaCha20-Poly1305
9947,2024-11-05T21:50:36,Large,9451,Kunerva,586,6.3,2.05,38%,Low,AES-256-GCM
9948,2024-11-05T21:50:37,Large,4171,kubeFlower,624,7.16,3.1,71%,High,ChaCha20-Poly1305
9949,2024-11-05T21:50:38,VeryLarge,49482,ATLAS,1261,5.27,1.61,72%,Low,AES-128-GCM
9950,2024-11-05T21:50:39,VeryLarge,13628,ReplicaWatcher,1446,6.14,1.8,47%,Medium,AES-128-GCM
9951,2024-11-05T21:50:40,VeryLarge,44711,Kunerva,1430,6.77,2.09,49%,Low,AES-128-GCM
9952,2024-11-05T21:50:41,VeryLarge,18136,kubeFlower,1552,6.87,3.05,61%,High,ChaCha20-Poly1305
9953,2024-11-05T21:50:42,Small,90,ATLAS,45,4.42,1.46,47%,High,ChaCha20-Poly1305
9954,2024-11-05T21:50:43,Small,81,ReplicaWatcher,81,5.15,1.5,78%,Low,ChaCha20-Poly1305
9955,2024-11-05T21:50:44,Small,1,Kunerva,86,5.75,1.77,22%,Low,ChaCha20-Poly1305
9956,2024-11-05T21:50:45,Small,52,kubeFlower,128,6.05,2.66,21%,Medium,AES-256-GCM
9957,2024-11-05T21:50:46,Medium,817,ATLAS,155,4.79,1.52,36%,High,AES-256-GCM
9958,2024-11-05T21:50:47,Medium,794,ReplicaWatcher,200,5.36,1.64,40%,High,AES-128-GCM
9959,2024-11-05T21:50:48,Medium,444,Kunerva,213,6.35,1.92,29%,High,ChaCha20-Poly1305
9960,2024-11-05T21:50:49,Medium,350,kubeFlower,256,6.73,2.72,60%,Medium,ChaCha20-Poly1305
9961,2024-11-05T21:50:50,Large,8688,ATLAS,488,5.37,1.58,24%,Medium,AES-128-GCM
9962,2024-11-05T21:50:51,Large,3004,ReplicaWatcher,556,6.07,1.75,77%,Low,AES-256-GCM
9963,2024-11-05T21:50:52,Large,8375,Kunerva,603,6.58,2.01,45%,Medium,ChaCha20-Poly1305
9964,2024-11-05T21:50:53,Large,2080,kubeFlower,640,7.22,2.91,23%,High,AES-256-GCM
9965,2024-11-05T21:50:54,VeryLarge,35828,ATLAS,1302,5.66,1.6,80%,High,ChaCha20-Poly1305
9966,2024-11-05T21:50:55,VeryLarge,10402,ReplicaWatcher,1337,6.14,1.82,59%,Low,AES-256-GCM
9967,2024-11-05T21:50:56,VeryLarge,14861,Kunerva,1424,7.01,2.22,60%,Medium,ChaCha20-Poly1305
9968,2024-11-05T21:50:57,VeryLarge,39054,kubeFlower,1438,6.87,3.27,43%,High,AES-256-GCM
9969,2024-11-05T21:50:58,Small,30,ATLAS,43,4.37,1.49,33%,Medium,AES-256-GCM
9970,2024-11-05T21:50:59,Small,18,ReplicaWatcher,78,5.37,1.63,66%,Medium,AES-256-GCM
9971,2024-11-05T21:51:00,Small,76,Kunerva,92,6.05,1.75,53%,Low,AES-128-GCM
9972,2024-11-05T21:51:01,Small,31,kubeFlower,125,6.31,2.85,62%,Low,AES-128-GCM
9973,2024-11-05T21:51:02,Medium,666,ATLAS,157,4.54,1.47,46%,Low,AES-128-GCM
9974,2024-11-05T21:51:03,Medium,828,ReplicaWatcher,196,5.19,1.75,47%,Medium,ChaCha20-Poly1305
9975,2024-11-05T21:51:04,Medium,387,Kunerva,202,6.11,1.89,31%,Low,AES-256-GCM
9976,2024-11-05T21:51:05,Medium,520,kubeFlower,258,6.42,2.92,38%,High,AES-128-GCM
9977,2024-11-05T21:51:06,Large,5090,ATLAS,466,5.35,1.52,65%,Medium,AES-256-GCM
9978,2024-11-05T21:51:07,Large,5930,ReplicaWatcher,544,6.0,1.72,61%,High,ChaCha20-Poly1305
9979,2024-11-05T21:51:08,Large,2232,Kunerva,562,6.52,1.99,55%,Low,AES-128-GCM
9980,2024-11-05T21:51:09,Large,9674,kubeFlower,679,7.19,3.03,55%,High,AES-128-GCM
9981,2024-11-05T21:51:10,VeryLarge,32199,ATLAS,1245,5.66,1.73,59%,Medium,AES-128-GCM
9982,2024-11-05T21:51:11,VeryLarge,49716,ReplicaWatcher,1330,6.31,1.95,32%,Medium,AES-256-GCM
9983,2024-11-05T21:51:12,VeryLarge,39416,Kunerva,1425,6.77,2.21,78%,Low,AES-256-GCM
9984,2024-11-05T21:51:13,VeryLarge,44732,kubeFlower,1411,6.84,3.1,75%,High,ChaCha20-Poly1305
9985,2024-11-05T21:51:14,Small,8,ATLAS,44,4.38,1.53,39%,Medium,AES-128-GCM
9986,2024-11-05T21:51:15,Small,53,ReplicaWatcher,81,5.24,1.6,54%,Low,AES-128-GCM
9987,2024-11-05T21:51:16,Small,20,Kunerva,89,5.63,1.84,24%,High,ChaCha20-Poly1305
9988,2024-11-05T21:51:17,Small,70,kubeFlower,119,5.98,2.77,60%,Medium,ChaCha20-Poly1305
9989,2024-11-05T21:51:18,Medium,555,ATLAS,150,4.62,1.6,80%,Low,AES-128-GCM
9990,2024-11-05T21:51:19,Medium,432,ReplicaWatcher,190,5.54,1.72,39%,Low,ChaCha20-Poly1305
9991,2024-11-05T21:51:20,Medium,526,Kunerva,221,6.26,1.98,55%,Medium,ChaCha20-Poly1305
9992,2024-11-05T21:51:21,Medium,339,kubeFlower,263,6.43,2.92,60%,Medium,AES-256-GCM
9993,2024-11-05T21:51:22,Large,8193,ATLAS,499,5.1,1.52,51%,Low,ChaCha20-Poly1305
9994,2024-11-05T21:51:23,Large,4221,ReplicaWatcher,568,5.78,1.7,23%,Low,AES-128-GCM
9995,2024-11-05T21:51:24,Large,7939,Kunerva,591,6.55,1.93,26%,High,AES-256-GCM
9996,2024-11-05T21:51:25,Large,7561,kubeFlower,683,7.07,2.93,30%,Low,ChaCha20-Poly1305
9997,2024-11-05T21:51:26,VeryLarge,47626,ATLAS,1186,5.27,1.59,78%,Low,AES-256-GCM
9998,2024-11-05T21:51:27,VeryLarge,43067,ReplicaWatcher,1408,6.34,1.92,28%,High,ChaCha20-Poly1305
9999,2024-11-05T21:51:28,VeryLarge,16959,Kunerva,1485,6.91,2.17,74%,High,AES-128-GCM
10000,2024-11-05T21:51:29,VeryLarge,29813,kubeFlower,1452,7.29,3.03,28%,High,AES-128-GCM
10001,2024-11-05T21:51:30,Small,88,ATLAS,46,4.58,1.47,40%,Low,ChaCha20-Poly1305
10002,2024-11-05T21:51:31,Small,10,ReplicaWatcher,79,5.34,1.56,80%,Low,AES-128-GCM
10003,2024-11-05T21:51:32,Small,16,Kunerva,88,5.72,1.74,53%,High,ChaCha20-Poly1305
10004,2024-11-05T21:51:33,Small,62,kubeFlower,125,5.97,2.76,36%,High,AES-128-GCM
10005,2024-11-05T21:51:34,Medium,842,ATLAS,150,4.86,1.49,45%,Medium,AES-256-GCM
10006,2024-11-05T21:51:35,Medium,444,ReplicaWatcher,205,5.58,1.66,71%,Medium,ChaCha20-Poly1305
10007,2024-11-05T21:51:36,Medium,666,Kunerva,218,5.86,1.93,60%,High,AES-256-GCM
10008,2024-11-05T21:51:37,Medium,553,kubeFlower,276,6.34,2.85,24%,High,AES-256-GCM
10009,2024-11-05T21:51:38,Large,9038,ATLAS,497,5.12,1.64,44%,Medium,AES-128-GCM
10010,2024-11-05T21:51:39,Large,2019,ReplicaWatcher,573,5.93,1.77,40%,High,ChaCha20-Poly1305
10011,2024-11-05T21:51:40,Large,7615,Kunerva,599,6.69,1.87,51%,Medium,AES-256-GCM
10012,2024-11-05T21:51:41,Large,8324,kubeFlower,682,6.87,3.11,50%,High,AES-128-GCM
10013,2024-11-05T21:51:42,VeryLarge,36883,ATLAS,1276,5.47,1.67,29%,High,ChaCha20-Poly1305
10014,2024-11-05T21:51:43,VeryLarge,45170,ReplicaWatcher,1320,5.96,1.87,50%,High,AES-128-GCM
10015,2024-11-05T21:51:44,VeryLarge,39557,Kunerva,1532,6.84,2.14,79%,Low,AES-128-GCM
10016,2024-11-05T21:51:45,VeryLarge,41713,kubeFlower,1516,6.9,3.22,59%,Medium,AES-256-GCM
10017,2024-11-05T21:51:46,Small,59,ATLAS,44,4.55,1.5,66%,Low,AES-256-GCM
10018,2024-11-05T21:51:47,Small,42,ReplicaWatcher,79,5.29,1.59,28%,High,AES-256-GCM
10019,2024-11-05T21:51:48,Small,94,Kunerva,90,6.14,1.7,20%,High,ChaCha20-Poly1305
10020,2024-11-05T21:51:49,Small,36,kubeFlower,122,6.0,2.77,80%,Low,AES-128-GCM
10021,2024-11-05T21:51:50,Medium,103,ATLAS,157,4.72,1.5,45%,High,AES-128-GCM
10022,2024-11-05T21:51:51,Medium,989,ReplicaWatcher,199,5.59,1.73,74%,High,AES-128-GCM
10023,2024-11-05T21:51:52,Medium,719,Kunerva,217,5.94,1.94,74%,High,AES-256-GCM
10024,2024-11-05T21:51:53,Medium,779,kubeFlower,255,6.81,2.98,39%,Low,ChaCha20-Poly1305
10025,2024-11-05T21:51:54,Large,5786,ATLAS,475,5.3,1.65,62%,Medium,AES-256-GCM
10026,2024-11-05T21:51:55,Large,5041,ReplicaWatcher,576,5.75,1.82,28%,Medium,AES-128-GCM
10027,2024-11-05T21:51:56,Large,8110,Kunerva,584,6.53,1.95,38%,Medium,AES-128-GCM
10028,2024-11-05T21:51:57,Large,9962,kubeFlower,638,6.64,2.93,75%,Medium,AES-128-GCM
10029,2024-11-05T21:51:58,VeryLarge,45636,ATLAS,1243,5.47,1.69,51%,Low,AES-256-GCM
10030,2024-11-05T21:51:59,VeryLarge,32621,ReplicaWatcher,1404,6.09,1.8,42%,Medium,AES-128-GCM
10031,2024-11-05T21:52:00,VeryLarge,12742,Kunerva,1485,6.8,2.05,38%,Medium,AES-128-GCM
10032,2024-11-05T21:52:01,VeryLarge,30568,kubeFlower,1545,7.43,3.26,38%,Medium,ChaCha20-Poly1305
10033,2024-11-05T21:52:02,Small,53,ATLAS,47,4.69,1.45,30%,High,AES-128-GCM
10034,2024-11-05T21:52:03,Small,96,ReplicaWatcher,78,4.92,1.5,24%,High,ChaCha20-Poly1305
10035,2024-11-05T21:52:04,Small,92,Kunerva,90,5.93,1.87,75%,Low,AES-128-GCM
10036,2024-11-05T21:52:05,Small,56,kubeFlower,123,6.44,2.85,24%,Low,ChaCha20-Poly1305
10037,2024-11-05T21:52:06,Medium,669,ATLAS,153,4.69,1.49,53%,High,AES-128-GCM
10038,2024-11-05T21:52:07,Medium,598,ReplicaWatcher,205,5.46,1.59,57%,Low,AES-128-GCM
10039,2024-11-05T21:52:08,Medium,462,Kunerva,219,6.42,1.89,69%,High,ChaCha20-Poly1305
10040,2024-11-05T21:52:09,Medium,348,kubeFlower,262,6.37,2.91,41%,Low,ChaCha20-Poly1305
10041,2024-11-05T21:52:10,Large,1787,ATLAS,509,5.16,1.61,42%,Medium,AES-128-GCM
10042,2024-11-05T21:52:11,Large,9385,ReplicaWatcher,585,5.92,1.73,32%,High,AES-256-GCM
10043,2024-11-05T21:52:12,Large,3584,Kunerva,566,6.25,1.86,38%,Medium,AES-128-GCM
10044,2024-11-05T21:52:13,Large,4561,kubeFlower,657,6.88,3.06,80%,Medium,AES-256-GCM
10045,2024-11-05T21:52:14,VeryLarge,21074,ATLAS,1307,5.71,1.59,60%,High,AES-256-GCM
10046,2024-11-05T21:52:15,VeryLarge,10046,ReplicaWatcher,1376,6.26,1.94,20%,High,ChaCha20-Poly1305
10047,2024-11-05T21:52:16,VeryLarge,24256,Kunerva,1444,6.47,2.22,40%,High,AES-128-GCM
10048,2024-11-05T21:52:17,VeryLarge,46970,kubeFlower,1523,7.45,2.99,57%,Low,AES-128-GCM
10049,2024-11-05T21:52:18,Small,98,ATLAS,46,4.61,1.47,80%,High,ChaCha20-Poly1305
10050,2024-11-05T21:52:19,Small,87,ReplicaWatcher,79,5.36,1.61,31%,High,AES-256-GCM
10051,2024-11-05T21:52:20,Small,77,Kunerva,89,5.84,1.79,32%,Medium,AES-256-GCM
10052,2024-11-05T21:52:21,Small,16,kubeFlower,120,6.28,2.73,64%,Low,AES-256-GCM
10053,2024-11-05T21:52:22,Medium,535,ATLAS,157,5.02,1.51,67%,Medium,AES-128-GCM
10054,2024-11-05T21:52:23,Medium,668,ReplicaWatcher,205,5.25,1.66,45%,Low,ChaCha20-Poly1305
10055,2024-11-05T21:52:24,Medium,110,Kunerva,214,5.99,1.96,77%,Low,AES-128-GCM
10056,2024-11-05T21:52:25,Medium,782,kubeFlower,257,6.58,2.92,56%,High,ChaCha20-Poly1305
10057,2024-11-05T21:52:26,Large,3521,ATLAS,468,5.37,1.59,29%,Low,AES-128-GCM
10058,2024-11-05T21:52:27,Large,8445,ReplicaWatcher,558,5.8,1.7,71%,Medium,ChaCha20-Poly1305
10059,2024-11-05T21:52:28,Large,7151,Kunerva,583,6.51,2.04,51%,Low,ChaCha20-Poly1305
10060,2024-11-05T21:52:29,Large,4678,kubeFlower,634,6.58,2.87,78%,Medium,ChaCha20-Poly1305
10061,2024-11-05T21:52:30,VeryLarge,40233,ATLAS,1272,5.5,1.65,35%,Medium,ChaCha20-Poly1305
10062,2024-11-05T21:52:31,VeryLarge,22552,ReplicaWatcher,1443,6.31,1.8,46%,Medium,ChaCha20-Poly1305
10063,2024-11-05T21:52:32,VeryLarge,30483,Kunerva,1494,6.65,2.16,53%,High,AES-128-GCM
10064,2024-11-05T21:52:33,VeryLarge,38997,kubeFlower,1407,7.18,3.2,73%,High,AES-256-GCM
10065,2024-11-05T21:52:34,Small,65,ATLAS,43,4.75,1.49,70%,Low,ChaCha20-Poly1305
10066,2024-11-05T21:52:35,Small,56,ReplicaWatcher,77,5.18,1.5,37%,High,AES-256-GCM
10067,2024-11-05T21:52:36,Small,83,Kunerva,89,5.9,1.83,60%,Low,ChaCha20-Poly1305
10068,2024-11-05T21:52:37,Small,39,kubeFlower,117,5.95,2.74,75%,High,AES-256-GCM
10069,2024-11-05T21:52:38,Medium,412,ATLAS,152,4.88,1.55,69%,Medium,AES-128-GCM
10070,2024-11-05T21:52:39,Medium,892,ReplicaWatcher,203,5.42,1.71,68%,Low,ChaCha20-Poly1305
10071,2024-11-05T21:52:40,Medium,232,Kunerva,213,6.04,1.84,27%,Low,ChaCha20-Poly1305
10072,2024-11-05T21:52:41,Medium,675,kubeFlower,256,6.54,2.92,34%,High,AES-256-GCM
10073,2024-11-05T21:52:42,Large,1998,ATLAS,487,5.3,1.59,35%,Medium,AES-256-GCM
10074,2024-11-05T21:52:43,Large,1817,ReplicaWatcher,560,5.79,1.75,36%,Low,ChaCha20-Poly1305
10075,2024-11-05T21:52:44,Large,9044,Kunerva,605,6.65,1.98,46%,High,AES-128-GCM
10076,2024-11-05T21:52:45,Large,8577,kubeFlower,646,6.58,3.11,61%,Medium,AES-128-GCM
10077,2024-11-05T21:52:46,VeryLarge,42862,ATLAS,1278,5.7,1.6,53%,Low,AES-128-GCM
10078,2024-11-05T21:52:47,VeryLarge,49590,ReplicaWatcher,1366,5.98,1.97,57%,Low,ChaCha20-Poly1305
10079,2024-11-05T21:52:48,VeryLarge,13646,Kunerva,1422,6.53,2.24,46%,Low,ChaCha20-Poly1305
10080,2024-11-05T21:52:49,VeryLarge,28892,kubeFlower,1423,7.25,2.99,61%,Medium,AES-256-GCM
10081,2024-11-05T21:52:50,Small,53,ATLAS,46,4.51,1.47,48%,Medium,AES-256-GCM
10082,2024-11-05T21:52:51,Small,12,ReplicaWatcher,75,5.18,1.57,59%,High,AES-128-GCM
10083,2024-11-05T21:52:52,Small,57,Kunerva,89,5.99,1.78,77%,High,AES-128-GCM
10084,2024-11-05T21:52:53,Small,49,kubeFlower,120,6.53,2.74,70%,Medium,ChaCha20-Poly1305
10085,2024-11-05T21:52:54,Medium,306,ATLAS,157,4.99,1.45,75%,High,AES-128-GCM
10086,2024-11-05T21:52:55,Medium,565,ReplicaWatcher,208,5.72,1.62,76%,Low,ChaCha20-Poly1305
10087,2024-11-05T21:52:56,Medium,206,Kunerva,222,6.13,1.94,42%,Medium,AES-256-GCM
10088,2024-11-05T21:52:57,Medium,663,kubeFlower,260,6.63,2.81,20%,Medium,AES-256-GCM
10089,2024-11-05T21:52:58,Large,2924,ATLAS,495,5.26,1.63,65%,Low,AES-128-GCM
10090,2024-11-05T21:52:59,Large,8222,ReplicaWatcher,587,6.16,1.69,72%,Medium,AES-128-GCM
10091,2024-11-05T21:53:00,Large,2103,Kunerva,604,6.39,2.02,69%,High,ChaCha20-Poly1305
10092,2024-11-05T21:53:01,Large,7214,kubeFlower,633,7.2,3.0,61%,Medium,AES-128-GCM
10093,2024-11-05T21:53:02,VeryLarge,49255,ATLAS,1287,5.65,1.66,69%,High,AES-256-GCM
10094,2024-11-05T21:53:03,VeryLarge,38024,ReplicaWatcher,1334,6.38,1.96,29%,Medium,AES-256-GCM
10095,2024-11-05T21:53:04,VeryLarge,49819,Kunerva,1417,6.82,2.2,44%,Medium,AES-256-GCM
10096,2024-11-05T21:53:05,VeryLarge,29435,kubeFlower,1424,7.29,3.04,50%,High,AES-128-GCM
10097,2024-11-05T21:53:06,Small,95,ATLAS,43,4.44,1.45,53%,Medium,ChaCha20-Poly1305
10098,2024-11-05T21:53:07,Small,48,ReplicaWatcher,75,4.97,1.62,59%,High,ChaCha20-Poly1305
10099,2024-11-05T21:53:08,Small,97,Kunerva,85,5.62,1.7,22%,Medium,AES-128-GCM
10100,2024-11-05T21:53:09,Small,36,kubeFlower,121,6.18,2.72,73%,Low,ChaCha20-Poly1305
10101,2024-11-05T21:53:10,Medium,905,ATLAS,152,5.0,1.5,57%,High,AES-128-GCM
10102,2024-11-05T21:53:11,Medium,600,ReplicaWatcher,202,5.31,1.65,20%,High,AES-128-GCM
10103,2024-11-05T21:53:12,Medium,858,Kunerva,214,6.11,1.89,21%,High,AES-128-GCM
10104,2024-11-05T21:53:13,Medium,677,kubeFlower,262,6.77,2.75,57%,Low,AES-256-GCM
10105,2024-11-05T21:53:14,Large,1660,ATLAS,488,4.89,1.55,57%,High,ChaCha20-Poly1305
10106,2024-11-05T21:53:15,Large,6582,ReplicaWatcher,564,5.6,1.71,62%,High,AES-128-GCM
10107,2024-11-05T21:53:16,Large,4142,Kunerva,574,6.25,1.87,78%,Low,AES-128-GCM
10108,2024-11-05T21:53:17,Large,3626,kubeFlower,632,6.84,2.87,52%,Medium,ChaCha20-Poly1305
10109,2024-11-05T21:53:18,VeryLarge,31934,ATLAS,1294,5.33,1.73,28%,Medium,ChaCha20-Poly1305
10110,2024-11-05T21:53:19,VeryLarge,19012,ReplicaWatcher,1396,6.18,1.8,20%,Low,AES-256-GCM
10111,2024-11-05T21:53:20,VeryLarge,24122,Kunerva,1514,6.61,2.12,68%,High,AES-256-GCM
10112,2024-11-05T21:53:21,VeryLarge,41336,kubeFlower,1513,6.9,3.19,50%,High,AES-128-GCM
10113,2024-11-05T21:53:22,Small,5,ATLAS,46,4.65,1.54,44%,High,AES-256-GCM
10114,2024-11-05T21:53:23,Small,28,ReplicaWatcher,77,5.07,1.62,33%,Medium,AES-256-GCM
10115,2024-11-05T21:53:24,Small,72,Kunerva,88,6.03,1.8,73%,Medium,ChaCha20-Poly1305
10116,2024-11-05T21:53:25,Small,39,kubeFlower,120,6.1,2.81,49%,Medium,AES-256-GCM
10117,2024-11-05T21:53:26,Medium,500,ATLAS,159,4.93,1.45,45%,Medium,AES-128-GCM
10118,2024-11-05T21:53:27,Medium,174,ReplicaWatcher,198,5.34,1.63,26%,Low,ChaCha20-Poly1305
10119,2024-11-05T21:53:28,Medium,896,Kunerva,219,6.28,1.88,23%,Low,AES-128-GCM
10120,2024-11-05T21:53:29,Medium,898,kubeFlower,267,6.84,2.98,26%,High,AES-256-GCM
10121,2024-11-05T21:53:30,Large,7629,ATLAS,513,4.92,1.57,29%,High,AES-128-GCM
10122,2024-11-05T21:53:31,Large,2304,ReplicaWatcher,584,6.15,1.7,79%,Medium,AES-128-GCM
10123,2024-11-05T21:53:32,Large,1147,Kunerva,587,6.72,1.97,26%,Low,AES-128-GCM
10124,2024-11-05T21:53:33,Large,8774,kubeFlower,684,6.7,2.92,28%,Low,AES-256-GCM
10125,2024-11-05T21:53:34,VeryLarge,39441,ATLAS,1285,5.55,1.65,53%,Medium,ChaCha20-Poly1305
10126,2024-11-05T21:53:35,VeryLarge,32479,ReplicaWatcher,1427,6.13,1.93,63%,Low,AES-128-GCM
10127,2024-11-05T21:53:36,VeryLarge,38974,Kunerva,1512,6.76,2.22,69%,High,AES-128-GCM
10128,2024-11-05T21:53:37,VeryLarge,42100,kubeFlower,1545,7.39,3.07,31%,Low,AES-128-GCM
10129,2024-11-05T21:53:38,Small,64,ATLAS,46,4.58,1.53,25%,High,ChaCha20-Poly1305
10130,2024-11-05T21:53:39,Small,33,ReplicaWatcher,76,5.37,1.62,37%,Low,AES-128-GCM
10131,2024-11-05T21:53:40,Small,13,Kunerva,85,5.93,1.78,42%,Low,ChaCha20-Poly1305
10132,2024-11-05T21:53:41,Small,49,kubeFlower,127,5.96,2.74,79%,Low,AES-128-GCM
10133,2024-11-05T21:53:42,Medium,422,ATLAS,157,4.72,1.53,55%,Low,AES-128-GCM
10134,2024-11-05T21:53:43,Medium,198,ReplicaWatcher,189,5.65,1.7,58%,Low,AES-256-GCM
10135,2024-11-05T21:53:44,Medium,509,Kunerva,219,6.23,1.89,27%,Low,AES-256-GCM
10136,2024-11-05T21:53:45,Medium,553,kubeFlower,278,6.88,2.91,42%,High,AES-256-GCM
10137,2024-11-05T21:53:46,Large,4327,ATLAS,490,5.18,1.64,65%,Low,ChaCha20-Poly1305
10138,2024-11-05T21:53:47,Large,5002,ReplicaWatcher,559,5.78,1.72,35%,Medium,AES-128-GCM
10139,2024-11-05T21:53:48,Large,7418,Kunerva,604,6.73,1.88,79%,Medium,ChaCha20-Poly1305
10140,2024-11-05T21:53:49,Large,7010,kubeFlower,643,6.69,2.97,68%,High,AES-128-GCM
10141,2024-11-05T21:53:50,VeryLarge,17406,ATLAS,1184,5.49,1.7,47%,High,AES-128-GCM
10142,2024-11-05T21:53:51,VeryLarge,46079,ReplicaWatcher,1339,5.94,1.92,77%,Medium,ChaCha20-Poly1305
10143,2024-11-05T21:53:52,VeryLarge,31182,Kunerva,1402,6.78,2.25,55%,Medium,ChaCha20-Poly1305
10144,2024-11-05T21:53:53,VeryLarge,24183,kubeFlower,1500,6.91,3.18,24%,High,ChaCha20-Poly1305
10145,2024-11-05T21:53:54,Small,55,ATLAS,46,4.75,1.44,47%,High,AES-256-GCM
10146,2024-11-05T21:53:55,Small,45,ReplicaWatcher,80,5.32,1.57,58%,Medium,AES-128-GCM
10147,2024-11-05T21:53:56,Small,68,Kunerva,88,5.78,1.82,36%,Low,AES-128-GCM
10148,2024-11-05T21:53:57,Small,88,kubeFlower,118,5.95,2.83,42%,High,AES-256-GCM
10149,2024-11-05T21:53:58,Medium,443,ATLAS,161,4.55,1.5,45%,High,ChaCha20-Poly1305
10150,2024-11-05T21:53:59,Medium,630,ReplicaWatcher,191,5.57,1.7,72%,Medium,AES-256-GCM
10151,2024-11-05T21:54:00,Medium,538,Kunerva,222,6.15,1.91,74%,Medium,AES-256-GCM
10152,2024-11-05T21:54:01,Medium,976,kubeFlower,268,6.58,2.86,58%,Low,AES-256-GCM
10153,2024-11-05T21:54:02,Large,7156,ATLAS,511,4.96,1.63,69%,Low,ChaCha20-Poly1305
10154,2024-11-05T21:54:03,Large,9130,ReplicaWatcher,579,5.77,1.78,75%,Medium,ChaCha20-Poly1305
10155,2024-11-05T21:54:04,Large,2766,Kunerva,564,6.45,1.96,74%,Medium,AES-128-GCM
10156,2024-11-05T21:54:05,Large,4965,kubeFlower,635,6.6,2.94,35%,Low,AES-128-GCM
10157,2024-11-05T21:54:06,VeryLarge,44551,ATLAS,1267,5.39,1.73,35%,Low,AES-128-GCM
10158,2024-11-05T21:54:07,VeryLarge,31387,ReplicaWatcher,1415,6.1,1.96,47%,Low,AES-128-GCM
10159,2024-11-05T21:54:08,VeryLarge,25311,Kunerva,1494,6.87,2.21,74%,Low,AES-256-GCM
10160,2024-11-05T21:54:09,VeryLarge,13961,kubeFlower,1494,7.31,3.03,32%,Low,ChaCha20-Poly1305
10161,2024-11-05T21:54:10,Small,74,ATLAS,45,4.38,1.41,43%,Medium,ChaCha20-Poly1305
10162,2024-11-05T21:54:11,Small,55,ReplicaWatcher,82,5.29,1.61,80%,Medium,AES-128-GCM
10163,2024-11-05T21:54:12,Small,92,Kunerva,93,6.16,1.75,20%,High,AES-128-GCM
10164,2024-11-05T21:54:13,Small,28,kubeFlower,128,6.16,2.68,74%,Low,AES-128-GCM
10165,2024-11-05T21:54:14,Medium,588,ATLAS,150,4.99,1.5,70%,Low,AES-128-GCM
10166,2024-11-05T21:54:15,Medium,963,ReplicaWatcher,192,5.61,1.7,53%,High,AES-256-GCM
10167,2024-11-05T21:54:16,Medium,627,Kunerva,202,5.93,1.88,30%,High,AES-128-GCM
10168,2024-11-05T21:54:17,Medium,440,kubeFlower,277,6.32,2.94,29%,High,AES-256-GCM
10169,2024-11-05T21:54:18,Large,3780,ATLAS,465,5.18,1.54,71%,High,AES-128-GCM
10170,2024-11-05T21:54:19,Large,2429,ReplicaWatcher,540,6.13,1.71,80%,Medium,AES-128-GCM
10171,2024-11-05T21:54:20,Large,6769,Kunerva,578,6.36,1.98,47%,High,ChaCha20-Poly1305
10172,2024-11-05T21:54:21,Large,9902,kubeFlower,678,6.66,2.88,36%,Medium,ChaCha20-Poly1305
10173,2024-11-05T21:54:22,VeryLarge,47290,ATLAS,1220,5.36,1.57,27%,High,ChaCha20-Poly1305
10174,2024-11-05T21:54:23,VeryLarge,41800,ReplicaWatcher,1408,6.41,1.93,67%,Low,ChaCha20-Poly1305
10175,2024-11-05T21:54:24,VeryLarge,36177,Kunerva,1475,6.94,2.13,68%,Medium,ChaCha20-Poly1305
10176,2024-11-05T21:54:25,VeryLarge,41372,kubeFlower,1437,7.17,3.13,76%,Low,ChaCha20-Poly1305
10177,2024-11-05T21:54:26,Small,83,ATLAS,43,4.33,1.47,65%,Low,AES-256-GCM
10178,2024-11-05T21:54:27,Small,95,ReplicaWatcher,75,5.36,1.59,40%,Low,ChaCha20-Poly1305
10179,2024-11-05T21:54:28,Small,29,Kunerva,88,6.02,1.86,57%,High,ChaCha20-Poly1305
10180,2024-11-05T21:54:29,Small,69,kubeFlower,127,6.05,2.85,56%,Low,AES-128-GCM
10181,2024-11-05T21:54:30,Medium,391,ATLAS,161,4.81,1.59,70%,Medium,AES-256-GCM
10182,2024-11-05T21:54:31,Medium,957,ReplicaWatcher,198,5.19,1.61,27%,High,ChaCha20-Poly1305
10183,2024-11-05T21:54:32,Medium,219,Kunerva,211,6.32,1.8,21%,Medium,AES-128-GCM
10184,2024-11-05T21:54:33,Medium,929,kubeFlower,265,6.46,2.71,31%,Low,AES-256-GCM
10185,2024-11-05T21:54:34,Large,7977,ATLAS,501,4.96,1.62,78%,High,ChaCha20-Poly1305
